Tên hồ chứa;Nguồn nước khai thác;Thuộc hệ thống sông;Diện tích mặt nước 103 (m2);Dung tích toàn bộ (triệu m3);Dung tích hữu ích (triệu m3);Vị trí hành chính;Mục đích sử dụng;Ghi chú
Hồ Đồng Nghệ;Hồ Đồng Nghệ;Không có;2331;17.17;15.87;Thôn Phước Sơn, xã Hòa Khương, huyện Hòa Vang, TP Đà Nẵng;Cấp nước tưới nông nghiệp;
Hồ Hòa Trung;Hồ Hòa Trung;Không có;1439.6;1.01;10.67;Thôn Tân Ninh, xã Hòa Liên, huyện Hòa Vang, TP Đà Nẵng;Cấp nước tưới nông nghiệp, cấp nước thô sinh hoạt;
Hồ Hố Cau;Hồ Hố Cau;Không có;96.736;0.303;0.3;Thôn Hội Phước, xã Hòa Phú, huyện Hòa Vang, TP. Đà Nẵng;Cấp nước tưới nông nghiệp;
Hồ Đồng Tréo;Hồ Đồng Tréo;Không có;115.511;0.431;0.347;Thôn An Châu, xã Hòa Phú, huyện Hòa Vang, TP. Đà Nẵng;Cấp nước tưới nông nghiệp;
Hồ Hố Trảy;Hồ Hố Trảy;Không có;;0.076;0.068;Thôn Hòa Phước, xã Hòa Phú, huyện Hòa Vang, TP. Đà Nẵng;Cấp nước tưới nông nghiệp;
Hồ Hố Lăng;Hồ Hố Lăng;Không có;;0.001;;Thôn Hội Phước, xã Hòa Phú, huyện Hòa Vang, TP. Đà Nẵng;Cấp nước tưới nông nghiệp;
Hồ Phú Túc;Hồ Phú Túc;Không có;;0.002;0.0015;Thôn Phú Túc, xã Hòa Phú, huyện Hòa Vang, TP. Đà Nẵng;Cấp nước tưới nông nghiệp;
Hồ An Nhơn;Hồ An Nhơn;Không có;;0.087;0.086;Thôn Hòa Phước, xã Hòa Phú, huyện Hòa Vang, TP. Đà Nẵng;Cấp nước tưới nông nghiệp;
Hồ Hòa Khê;Hồ Hòa Khê;Không có;;0.28;;Thôn Hòa Khê, xã Hòa Sơn, huyện Hòa Vang, TP. Đà Nẵng;Điều hòa, tạo môi trường cảnh quan;
Hồ Hố Gáo;Hồ Hố Gáo;Không có;16.704;0.061;0.05;Thôn Xuân Phú, xã Hòa Sơn, huyện Hòa Vang, TP. Đà Nẵng;Cấp nước tưới nông nghiệp;
Hồ Truông Đá Bạc;Hồ Truông Đá Bạc;Không có;;0.055;0.054;Thôn An Ngãi Tây 1, xã Hòa Sơn, huyện Hòa Vang, TP. Đà Nẵng;Cấp nước tưới nông nghiệp;
Hồ Hố Thung;Hồ Hố Thung;Không có;;0.052;0.05;Thôn Đại La, xã Hòa Sơn, huyện Hòa Vang, TP. Đà Nẵng;Cấp nước tưới nông nghiệp;
Hồ Hố Cái;Hồ Hố Cái;Không có;;0.047;0.046;Thôn Xuân Phú, xã Hòa Sơn, huyện Hòa Vang, TP. Đà Nẵng;Cấp nước tưới nông nghiệp;
Hồ Trước Đông;Hồ Trước Đông;Không có;428.049;1.817;1.6;Thôn Trước Đông, xã Hòa Nhơn, huyện Hòa Vang, TP. Đà Nẵng;Cấp nước tưới nông nghiệp;
Hồ Trường Loan thượng;Hồ Trường Loan thượng;Không có;19.506;0.06;0.039;Thôn Hòa Khương, xã Hòa Nhơn, huyện Hòa Vang, TP. Đà Nẵng;Cấp nước tưới nông nghiệp;
Hồ Trường Loan hạ;Hồ Trường Loan hạ;Không có;29.025;0.03;0.025;Thôn Hòa Khương, xã Hòa Nhơn, huyện Hòa Vang, TP. Đà Nẵng;Cấp nước tưới nông nghiệp;
Hồ Tân An;Hồ Tân An;Không có;;0.069;0.067;Thôn Diêu Phong, xã Hòa Nhơn, huyện Hòa Vang, TP. Đà Nẵng;Cấp nước tưới nông nghiệp;
Hồ Diêu Phong;Hồ Diêu Phong;Không có;;0.016;0.011;Thôn Diêu Phong, xã Hòa Nhơn, huyện Hòa Vang, TP. Đà Nẵng;Cấp nước tưới nông nghiệp;
Hồ Hốc Gối;Hồ Hốc Gối;Không có;;0.029;0.02;Thôn Diêu Phong, xã Hòa Nhơn, huyện Hòa Vang, TP. Đà Nẵng;Cấp nước tưới nông nghiệp;
Hồ Hóc Khế;Hồ Hóc Khế;Không có;241.582;0.935;0.7;Thôn Khương Mỹ, xã Hòa Phong, huyện Hòa Vang, TP. Đà Nẵng;Cấp nước tưới nông nghiệp;
Hồ Nam Mỹ;Sông Cu Đê;;513000;1.86;1.12;;;
