Phân loại;Mã sông;Tên sông, suối;Địa danh;Chảy ra;Chiều dài (Km);Diện tích lưu vực (Km2);Ghi chú
Các sông trên địa bàn thành phố Đà Nẵng (sông nội tỉnh) thuộc lưu vực sông lớn;5;Sông Vu Gia - Thu Bồn;;Biển;;;
Các sông trên địa bàn thành phố Đà Nẵng (sông nội tỉnh) thuộc lưu vực sông lớn;5.1;Sông Vu Gia;;Biển;;;
Các sông trên địa bàn thành phố Đà Nẵng (sông nội tỉnh) thuộc lưu vực sông lớn;5.1.14;Sông Tuý Loan;Huyện Hoà Vang;Sông Vu Gia;29;287;
Các sông trên địa bàn thành phố Đà Nẵng (sông nội tỉnh) thuộc lưu vực sông lớn;5.1.14.1;Phụ lưu số 1 (Khe suối On Châu);Xã Hoà Nhơn, Huyện Hoà Vang;Sông Túy Loan;12;39;
Các sông trên địa bàn thành phố Đà Nẵng (sông nội tỉnh) thuộc lưu vực sông lớn;5.1.14.2;Sông Hội Phước;Xã Hoà Phú, Huyện Hoà Vang;Sông Túy Loan;18;99;
Các sông trên địa bàn thành phố Đà Nẵng (sông nội tỉnh) thuộc lưu vực sông lớn;5.1.14.2.1;Suối Lớn;Xã Hoà Phú, Huyện Hoà Vang;Sông Hội Phước;15;60;
Các sông trên địa bàn thành phố Đà Nẵng (sông nội tỉnh) thuộc lưu vực sông lớn;5.1.14.3;Phụ lưu số 3;Xã Hoà Phú, Huyện Hoà Vang;Sông Túy Loan;11;35;
Các sông trên địa bàn thành phố Đà Nẵng (sông nội tỉnh) độc lập;70;Sông Cu Đê (Tên khác là sông Bắc);Xã Hòa Bắc, huyện Hòa Vang;Biển;47;449;
Các sông trên địa bàn thành phố Đà Nẵng (sông nội tỉnh) độc lập;70.1;Sông Nam;Xã Hòa Bắc, huyện Hòa Vang;Sông Cu Đê;29;121;
Các sông trên địa bàn thành phố Đà Nẵng (sông nội tỉnh) độc lập;70.2;Phụ lưu số 2;Xã Hòa Bắc, huyện Hòa Vang;Sông Cu Đê;15;57;
