Phân loại;Năm 2010 (ĐVT:%);Năm 2011 (ĐVT:%);Năm 2012 (ĐVT:%);Năm 2013 (ĐVT:%);Năm 2014 (ĐVT:%);Năm 2015 (ĐVT:%);Năm 2016 (ĐVT:%);Năm 2017 (ĐVT:%);Năm 2018 (ĐVT:%);Năm 2019 (ĐVT:%);Năm 2020 (ĐVT:%);Năm 2021 (ĐVT:%);Năm 2022 (ĐVT:%);Sơ bộ 2023 (ĐVT:%);;;;
Tháng 1;84;83;87;84;82;82;86;85;86;86;79;80;85;83;;;;
Tháng 2 ;85;81;85;84;82;84;80;83;81;83;79;80;80;83;;;;
Tháng 3;83;81;81;86;84;86;84;85;82;83;81;82;82;81;;;;
Tháng 4 ;83;82;80;83;83;85;81;82;82;80;80;80;82;81;;;;
Tháng 5 ;77;77;75;77;75;75;78;80;79;74;77;77;79;77;;;;
Tháng 6 ;77;74;69;72;70;75;74;74;74;70;71;68;72;76;;;;
Tháng 7 ;77;70;72;79;78;73;75;80;75;69;74;68;76;76;;;;
Tháng 8 ;82;75;72;77;75;78;76;77;72;71;75;68;79;72;;;;
Tháng 9 ;83;87;85;85;80;80;82;79;77;80;74;82;82;82;;;;
Tháng 10 ;85;86;83;83;84;82;83;83;79;81;87;85;81;89;;;;
Tháng 11;88;85;86;85;85;84;85;89;82;82;84;84;82;86;;;;
Tháng 12 ;84;88;84;80;89;86;89;84;87;81;84;82;84;88;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
