Phân loại;Năm  2002 (ĐVT: Giờ);Năm  2003 (ĐVT: Giờ);Năm  2004 (ĐVT: Giờ);Năm  2005 (ĐVT: Giờ);Năm  2006 (ĐVT: Giờ);Năm  2007 (ĐVT: Giờ);Năm  2008 (ĐVT: Giờ);Năm  2009 (ĐVT: Giờ);Năm  2010 (ĐVT: Giờ);Năm  2011 (ĐVT: Giờ);Năm  2012 (ĐVT: Giờ);Năm  2013 (ĐVT: Giờ);Năm  2014 (ĐVT: Giờ);Năm  2015 (ĐVT: Giờ);Năm  2016 (ĐVT: Giờ);Năm  2017 (ĐVT: Giờ);Năm  2018 (ĐVT: Giờ);Năm  2019 (ĐVT: Giờ);Năm 2020 (ĐVT: Giờ);Năm 2021 (ĐVT: Giờ);Năm 2022 (ĐVT: Giờ);Sơ bộ 2023 (ĐVT: Giờ);Sơ bộ 2024 (ĐVT: Giờ)
Tháng 1;33.0;22.0;88.0;36.0;98.0;153.0;83.0;159.5;87.9;160.6;56.8;17.8;86.6;24.2;74.2;134.9;22.8;270.3;46.2;34.7;67.2;184.0;38.3
Tháng 2 ;64.0;20.0;7.0;6.0;34.0;0.0;34.0;23.3;0.0;0.0;37.4;44.5;0.0;12.0;5.4;60.3;11.9;1.4;3.7;32.1;5.0;88.4;8.2
Tháng 3;4.0;38.0;10.0;36.0;2.0;58.0;54.0;23.0;10.3;31.2;0.0;44.6;3.9;179.3;13.8;18.7;30.3;34.4;30.3;14.6;48.6;15.9;0.9
Tháng 4 ;113.0;18.0;13.0;12.0;9.0;55.0;67.0;179.9;4.7;8.0;21.3;14.2;63.2;89.7;0.0;32.8;146.1;0.0;114.0;24.1;367.1;22.7;4.1
Tháng 5 ;39.0;110.0;44.0;20.0;69.0;156.0;158.0;65.3;62.1;35.0;10.9;43.3;5.5;34.6;59.0;76.6;5.2;53.0;64.2;2.1;158.6;55.9;205.5
Tháng 6 ;104.0;96.0;136.0;2.0;2.0;7.0;36.0;36.2;76.1;100.5;46.1;25.2;82.4;24.8;47.0;33.6;150.7;11.2;0.4;38.5;3.6;106.3;27.7
Tháng 7 ;30.0;13.0;241.0;136.0;127.0;24.0;48.0;186.5;245.2;12.8;32.0;131.5;183.6;36.8;54.3;248.2;184.4;65.1;56.0;12.5;52.0;89.7;164.7
Tháng 8 ;376.0;86.0;69.0;210.0;346.0;152.0;57.0;152.8;326.3;139.1;180.5;80.7;180.8;190.9;145.0;178.7;55.4;174.0;67.4;93.5;187.0;32.3;56.9
Tháng 9 ;692.0;478.0;129.0;236.0;394.0;253.0;230.0;1375.7;166.1;812.1;581.7;750.8;111.5;416.0;783.3;198.0;139.6;307.7;309.3;800.4;419.4;456.5;370.0
Tháng 10 ;527.0;412.0;266.0;510.0;619.0;1147.0;1007.0;455.8;656.3;791.3;367.5;369.4;819.4;356.1;411.2;363.5;253.4;637.8;1754.9;782.8;1219.6;1836.2;681.7
Tháng 11;470.0;295.0;258.0;432.0;279.0;894.0;569.0;194.4;549.2;1218.0;302.4;760.3;288.1;328.2;336.8;776.6;260.6;464.9;486.2;271.0;156.6;742.0;608.9
Tháng 12 ;212.0;160.0;94.0;214.0;254.0;164.0;185.0;165.4;52.6;339.2;59.5;34.4;399.1;179.8;758.7;163.5;1278.7;130.6;143.6;485.8;349.7;317.2;443.8
