Tên;Địa chỉ;Quận huyện;Phường xã;Vĩ độ;Kinh độ;Hình ảnh
Hòa Khương;QL14B, UBND xã Hòa Khương;Hòa Vang;Hòa Khương;15.960965130756609;108.13975063204553;https://congdulieu.vn/cdldnfiles/tramDMTT/TĐM-QL14Bubndhoakhuong.jpg
Hồ Thạc Gián;Hồ điều hòa Thạc Gián;Thanh Khê;Thạc Gián;16.063888832045;108.2091961246177;https://congdulieu.vn/cdldnfiles/tramDMTT/TĐM-hothacgian.jpg
"Kênh Nguyễn Đình Tựu	";299 Huỳnh Ngọc Huệ;Thanh Khê;Hòa Khê;16.05421710014913;108.18833057062011;https://congdulieu.vn/cdldnfiles/tramDMTT/TĐM-nguyendinhtuu.jpg
Phường Hòa Cường Nam;Chi cục thủy lợi Đà Nẵng;Hải Châu;Hòa Cường Nam;16.02751224142264;108.21996877134727;https://congdulieu.vn/cdldnfiles/tramDMTT/TĐM-hoacuongnam.jpg
Khe Cạn;Nhà sinh hoạt cộng đồng phường Thanh Khê Tây;Thanh Khê;Thanh Khê Tây;16.066693071472464;108.17780392620256;https://congdulieu.vn/cdldnfiles/tramDMTT/TĐM-khecan.jpg
Hòa Phát;UBND phường Hòa Phát;Cẩm Lệ;Hòa Phát;16.025392197250806;08.18799275372578;https://congdulieu.vn/cdldnfiles/tramDMTT/TĐM-hoaphat.jpg
Suối Đá;đường Lương Hữu Khánh;Sơn Trà;Thọ Quang;16.1085263064731;108.26171675643863;https://congdulieu.vn/cdldnfiles/tramDMTT/TĐM-suoida.jpg
Trạm bơm Túy Loan;đường Thăng Long;Hòa Vang;Hòa Nhơn;15.99989197774159;108.14192101733303;https://congdulieu.vn/cdldnfiles/tramDMTT/TĐM-trambomtuyloan.jpg
Hồ Hói Khê;Hồ Hói Khê;Hòa Vang;Hoa Phòng;15.991316457849495;108.09910130463733;https://congdulieu.vn/cdldnfiles/tramDMTT/TĐM-hohoikhe.jpg
Hồ Đồng Nghệ;Hồ Đồng Nghệ;Hòa Vang;Hòa Khương;15.95050978690437;108.08690901085409;https://congdulieu.vn/cdldnfiles/tramDMTT/TĐM-hodongnghe.jpg
Hồ Trước Đông;Hồ chứa nước Trước Đông;Hòa Vang;Hoà Nhơn;16.012351959943771;108.09838796965778;https://congdulieu.vn/cdldnfiles/tramDMTT/TĐM-hotruocdong.jpg
Trạm bơm An Trạch;Thôn An Trạch;Hòa Vang;Hòa Tiến;15.953581994399428;108.15494301728904;https://congdulieu.vn/cdldnfiles/tramDMTT/TĐM-tbantrach.jpg
Hòa Phước;UBND xã Hòa Phước, đường QL1A;Hòa Vang;Hòa Phước;15.95913169134422;108.21554610094432;https://congdulieu.vn/cdldnfiles/tramDMTT/TĐM-hoaphuoc.jpg
Hồ chứa nước Hố Cau;Thôn Hòa Phát;Hòa Vang;Hòa Phú;15.996373796562008;108.05443756230677;https://congdulieu.vn/cdldnfiles/tramDMTT/TĐM-hocau.jpg
Chùa Linh Ứng;đường Hòang Sa;Sơn Trà;Thọ Quang;16.10000090811275;108.2794913153062;https://congdulieu.vn/cdldnfiles/tramDMTT/TĐM-chualinhung.jpg
